"movie id", "num ratings",	"ave rating",	"title",	"genres"
4993,	198,	4.1,	"Lord of the Rings:", "The Fellowship of the Ring,...",	"Adventure|Fantasy"
5952,	188,	4.0,	"Lord of the Rings:", "The Two Towers, The",	"Adventure|Fantasy"
7153,	185,	4.1,	"Lord of the Rings:", "The Return of the King, The",	"Action|Adventure|Drama|Fantasy"
4306,	170,	3.9,	"Shrek",	"Adventure|Animation|Children|Comedy|Fantasy|Ro..."
58559,	149,	4.2,	"Dark Knight, The",	"Action|Crime|Drama"
6539,	149,	3.8,	"Pirates of the Caribbean: The Curse of the Bla...",	"Action|Adventure|Comedy|Fantasy"
79132,	143,	4.1,	"Inception",	"Action|Crime|Drama|Mystery|Sci-Fi|Thriller"
6377,	141,	4.0,	"Finding Nemo",	"Adventure|Animation|Children|Comedy"
4886,	132,	3.9,	"Monsters, Inc.",	"Adventure|Animation|Children|Comedy|Fantasy"
7361,	131,	4.2,	"Eternal Sunshine of the Spotless Mind",	"Drama|Romance|Sci-Fi"
